# Magnetic material data,,,,,,,,,,,,,,,
# Each row defines one Steinmetz segment for a material.,,,,,,,,,,,,,,,
# A material is shown in the bar charts only when the entered frequency,,,,,,,,,,,,,,,
# falls within at least one of its freq_min/freq_max ranges.,,,,,,,,,,,,,,,
# Multiple rows for the same material = piecewise Steinmetz.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# Core loss model:  Pv [kW/m^3] = k ¬∑ f[kHz]^alpha ¬∑ B[mT]^beta,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
material,mu,bsat_mT,freq_min_kHz,freq_max_kHz,k-25,alpha-25,beta-25,k-100,alpha-100,beta-100,type,manufacturer,notes,datasheet,Tags
MQ40D,4000,460,,,,,,,,,MnZn,Proterial,Low relative loss factor and high impedance,https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=20,
MQ53D,5300,440,,,,,,,,,MnZn,Proterial,Low relative loss factor and high impedance,https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=21,
MP70D,7000,430,,,,,,,,,MnZn,Proterial,High permeability,https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=22,
MP10T,10000,400,,,,,,,,,MnZn,Proterial,High permeability,https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=23,
MT30D,3000,530,,,,,,,,,MnZn,Proterial,Stable permeability in wide temperature range (-20 ~ 100°C).,https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=24,flat-temp
MT80D,8000,400,,,,,,,,,MnZn,Proterial,Stable permeability in wide temperature range (-20 ~ 100°C).,https://www.proterial.com/e/products/soft_magnetism/pdf/hj-b3-e.pdf#page=25,flat-temp
L,750,520,1000,3000,,,,,,,Ferrite,"Magnetics, Inc.",Core losses are minimized between 70 – 100°C,https://www.mag-inc.com/products/ferrite-cores/l-material,min-loss-100C
R,2300,470,25,500,,,,,,,Ferrite,"Magnetics, Inc.",Widely available in shapes and toroids. Engineered for lowest losses at 95°C.,https://www.mag-inc.com/products/ferrite-cores/r-material,min-loss-100C
P,2500,470,25,99,,,,82919.57872,1.36,2.86,Ferrite,"Magnetics, Inc.",Engineered for lowest losses at 95°C.; 100C is actually 80,https://www.mag-inc.com/products/ferrite-cores/p-material,min-loss-100C
P,2500,470,100,500,,,,7542.055597,1.63,2.62,Ferrite,"Magnetics, Inc.",Engineered for lowest losses at 95°C.; 100C is actually 80,https://www.mag-inc.com/products/ferrite-cores/p-material,min-loss-100C
F,3000,470,5,10,395937.9146,1.06,2.85,,,,Ferrite,"Magnetics, Inc.",Slightly higher in perm than P or R Material. Engineered for lowest losses at 60°C.,https://www.mag-inc.com/products/ferrite-cores/f-material,loss-min-60C
F,3000,470,11,99,14980.25326,1.72,2.66,,,,Ferrite,"Magnetics, Inc.",Slightly higher in perm than P or R Material. Engineered for lowest losses at 60°C.,https://www.mag-inc.com/products/ferrite-cores/f-material,loss-min-60C
F,3000,470,100,500,13126.67165,1.66,2.68,,,,Ferrite,"Magnetics, Inc.",Slightly higher in perm than P or R Material. Engineered for lowest losses at 60°C.,https://www.mag-inc.com/products/ferrite-cores/f-material,loss-min-60C
T,3000,530,100,400,,,,,,,Ferrite,"Magnetics, Inc.",T material offers stability in both perm and losses over a wide temperature range.,https://www.mag-inc.com/products/ferrite-cores/t-material,flat-temp
3C92,1800,540,20,99,2.93E-06,1.194999973,2.649999941,1.14E-06,1.194999973,2.649999941,MnZn,Ferroxcube,High Bsat,https://www.ferroxcube.com/upload/media/product/file/MDS/3C92%202022.pdf,
3C92,1800,540,100,199,3.65E-07,1.589999964,2.67499994,1.94E-07,1.589999964,2.67499994,MnZn,Ferroxcube,High Bsat,https://www.ferroxcube.com/upload/media/product/file/MDS/3C92%202022.pdf,
3C92,1800,540,200,400,1.52E-08,2.24499995,2.66499994,6.54E-09,2.24499995,2.66499994,MnZn,Ferroxcube,High Bsat,https://www.ferroxcube.com/upload/media/product/file/MDS/3C92%202022.pdf,
3C92A,1800,570,,,0,,,0,,,MnZn,Ferroxcube,High Bsat,https://www.ferroxcube.com/upload/media/product/file/MDS/3c92a.pdf,
3C96,2000,500,20,99,2.25E-06,1.33999997,2.66499994,5.42E-07,1.33999997,2.66499994,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c96.pdf,min-loss-100C
3C96,2000,500,100,199,9.32E-08,1.719999962,2.804999937,4.60E-08,1.719999962,2.804999937,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c96.pdf,min-loss-100C
